tile_coords_tokenized,bs_image_name,id_self,id_other,num_matches
"[4, 1]",tpId_0_viewSetupId_0,0,1,4437
"[4, 1]",tpId_0_viewSetupId_0,0,3,493
"[0, 2]",tpId_0_viewSetupId_1,1,2,21093
"[0, 2]",tpId_0_viewSetupId_1,1,0,4437
"[0, 2]",tpId_0_viewSetupId_1,1,3,626
"[3, 2]",tpId_0_viewSetupId_2,2,1,21093
"[3, 2]",tpId_0_viewSetupId_2,2,4,526
"[3, 2]",tpId_0_viewSetupId_2,2,5,128
"[1, 2]",tpId_0_viewSetupId_3,3,1,626
"[1, 2]",tpId_0_viewSetupId_3,3,6,765
"[1, 2]",tpId_0_viewSetupId_3,3,0,493
"[1, 2]",tpId_0_viewSetupId_3,3,7,65
"[1, 2]",tpId_0_viewSetupId_3,3,4,7911
"[1, 0]",tpId_0_viewSetupId_4,4,5,6018
"[1, 0]",tpId_0_viewSetupId_4,4,6,497
"[1, 0]",tpId_0_viewSetupId_4,4,2,526
"[1, 0]",tpId_0_viewSetupId_4,4,3,7911
"[1, 0]",tpId_0_viewSetupId_4,4,7,236
"[3, 0]",tpId_0_viewSetupId_5,5,2,128
"[3, 0]",tpId_0_viewSetupId_5,5,7,202
"[3, 0]",tpId_0_viewSetupId_5,5,8,388
"[3, 0]",tpId_0_viewSetupId_5,5,4,6018
"[2, 0]",tpId_0_viewSetupId_6,6,4,497
"[2, 0]",tpId_0_viewSetupId_6,6,3,765
"[2, 0]",tpId_0_viewSetupId_6,6,9,706
"[2, 0]",tpId_0_viewSetupId_6,6,10,96
"[2, 0]",tpId_0_viewSetupId_6,6,7,12282
"[1, 1]",tpId_0_viewSetupId_7,7,8,3290
"[1, 1]",tpId_0_viewSetupId_7,7,5,202
"[1, 1]",tpId_0_viewSetupId_7,7,3,65
"[1, 1]",tpId_0_viewSetupId_7,7,9,751
"[1, 1]",tpId_0_viewSetupId_7,7,11,26
"[1, 1]",tpId_0_viewSetupId_7,7,10,1232
"[1, 1]",tpId_0_viewSetupId_7,7,6,12282
"[1, 1]",tpId_0_viewSetupId_7,7,4,236
"[4, 2]",tpId_0_viewSetupId_8,8,11,51
"[4, 2]",tpId_0_viewSetupId_8,8,10,108
"[4, 2]",tpId_0_viewSetupId_8,8,5,388
"[4, 2]",tpId_0_viewSetupId_8,8,7,3290
"[2, 1]",tpId_0_viewSetupId_9,9,6,706
"[2, 1]",tpId_0_viewSetupId_9,9,10,20212
"[2, 1]",tpId_0_viewSetupId_9,9,12,1503
"[2, 1]",tpId_0_viewSetupId_9,9,13,89
"[2, 1]",tpId_0_viewSetupId_9,9,7,751
"[0, 1]",tpId_0_viewSetupId_10,10,14,207
"[0, 1]",tpId_0_viewSetupId_10,10,9,20212
"[0, 1]",tpId_0_viewSetupId_10,10,11,8258
"[0, 1]",tpId_0_viewSetupId_10,10,6,96
"[0, 1]",tpId_0_viewSetupId_10,10,12,548
"[0, 1]",tpId_0_viewSetupId_10,10,13,1870
"[0, 1]",tpId_0_viewSetupId_10,10,7,1232
"[0, 1]",tpId_0_viewSetupId_10,10,8,108
"[2, 2]",tpId_0_viewSetupId_11,11,14,264
"[2, 2]",tpId_0_viewSetupId_11,11,10,8258
"[2, 2]",tpId_0_viewSetupId_11,11,13,370
"[2, 2]",tpId_0_viewSetupId_11,11,8,51
"[2, 2]",tpId_0_viewSetupId_11,11,7,26
"[3, 1]",tpId_0_viewSetupId_12,12,9,1503
"[3, 1]",tpId_0_viewSetupId_12,12,13,1012
"[3, 1]",tpId_0_viewSetupId_12,12,10,548
"[0, 0]",tpId_0_viewSetupId_13,13,11,370
"[0, 0]",tpId_0_viewSetupId_13,13,10,1870
"[0, 0]",tpId_0_viewSetupId_13,13,9,89
"[0, 0]",tpId_0_viewSetupId_13,13,12,1012
"[0, 0]",tpId_0_viewSetupId_13,13,14,6506
"[4, 0]",tpId_0_viewSetupId_14,14,11,264
"[4, 0]",tpId_0_viewSetupId_14,14,10,207
"[4, 0]",tpId_0_viewSetupId_14,14,13,6506
